"#OTU ID","domain","phylum","class","order","family","genus","species"
"ASV_447","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Unknown","Unknown","Unknown"
"ASV_448","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Anaerococcus","Unknown"
"ASV_449","Bacteria","Spirochaetes","Spirochaetes","Spirochaetales","Spirochaetaceae","Treponema","socranskii"
"ASV_450","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Unknown"
"ASV_451","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unknown","Unknown"
"ASV_452","Bacteria","Firmicutes","Clostridia","Clostridiales","Unknown","Unknown","Unknown"
"ASV_453","Bacteria","Firmicutes","Clostridia","Clostridiales","Unknown","Unknown","Unknown"
"ASV_454","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Unknown","Unknown"
"ASV_455","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma","Unknown"
"ASV_456","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Unknown","Unknown"
"ASV_457","Bacteria","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"ASV_458","Bacteria","Firmicutes","Clostridia","Clostridiales","Unknown","Unknown","Unknown"
"ASV_459","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unknown","Unknown"
"ASV_460","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Unknown","Unknown","Unknown"
"ASV_461","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Unknown","Unknown"
"ASV_462","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Unknown","Unknown"
"ASV_463","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unknown","Unknown"
"ASV_464","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Unknown","Unknown"
"ASV_465","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Unknown","Unknown","Unknown"
"ASV_466","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Mycobacteriaceae","Mycobacterium","Unknown"
"ASV_467","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Anaerococcus","Unknown"
"ASV_468","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","Unknown"
"ASV_469","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Unknown","Unknown"
"ASV_470","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Unknown","Unknown"
"ASV_471","Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae","Unknown","Unknown"
"ASV_472","Bacteria","Firmicutes","Unknown","Unknown","Unknown","Unknown","Unknown"
"ASV_473","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unknown","Unknown"
"ASV_474","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Unknown"
"ASV_475","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Unknown","Unknown","Unknown"
"ASV_476","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Aggregatibacter","segnis"
"ASV_477","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Paraprevotellaceae]","Unknown","Unknown"
"ASV_478","Bacteria","Proteobacteria","Alphaproteobacteria","Unknown","Unknown","Unknown","Unknown"
"ASV_479","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unknown","Unknown"
"ASV_480","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium","somerae"
"ASV_481","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Unknown","Unknown","Unknown"
"ASV_482","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Hymenobacter","Unknown"
"ASV_483","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Arcanobacterium","Unknown"
"ASV_484","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unknown","Unknown"
"ASV_485","Bacteria","Firmicutes","Clostridia","Clostridiales","Unknown","Unknown","Unknown"
"ASV_486","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Unknown","Unknown"
"ASV_487","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","Unknown","Unknown"
